"","V_plasma","V_inter","V_muscle","kgut","Km","Vmax","m_K_ALDO","P_ECF","FF","GFR","dtKsec_eq","A_dtKsec","B_dtKsec","cdKsec_eq","A_cdKsec","B_cdKsec","A_cdKreab","A_insulin","B_insulin","KMuscleBase","Kecf_base","ALD_eq","etapsKreab"
"1",-1.72152557809113e-06,3.37034625488286e-05,1.68229691297483e-05,5.84127041776128e-05,-8.17448447767665,-2.72572065398435e-05,-0.113739747600732,-2.55145031502479e-05,-1.57502938691323e-07,-8.72586579960908,-25.500968398186,-37.6513856264453,-40.3444750651789,-1.01692782895671,-3.21795117980176,-3.02103096268318,35.6469874902126,0,0,15.2798439526246,-5.02610002137078,4.33093792113501,22.9988092166314
"2",8.8581148816047e-07,1.80934307536518e-08,1.81510729646561e-06,-1.553085915873e-05,-7.49981455401156,5.97282223679941e-11,-1.04135265968797,1.60935827864251e-06,1.731453610887e-05,-14.9752118356173,-27.230805848292,-125.122166575504,-73.8359706145191,-1.06504040387755,-4.60634550393678,-6.00496073261194,49.8710555195306,0,0,15.8290362320508,-10.9398156387809,10.6888708983862,39.4813108071675
"3",6.97561688411952e-08,-2.61110326960079e-06,4.08223854719836e-09,-1.10361128236036e-07,0.161816305048661,7.72739952026313e-08,0.0571126551676002,-3.99846555865224e-09,2.89974764200451e-08,-20.9498730972959,-28.4656202933293,-96.0376100398534,-55.4548779557986,-4.39038720107109,-13.3502480413505,-25.0040716658532,64.7223914071577,0,0,21.0222681034234,-36.452119602873,46.8337657473188,78.8841556635131
"4",-2.74980038739159e-11,3.29259819409344e-09,2.59308798433721e-05,3.00868347835604e-06,-6.46168443778329,3.1340267597102e-05,-0.669842833901313,-1.85652453410512e-08,6.61455405008838e-05,-7.84346648174248,-48.0352776370545,-63.0793785752465,-86.3797234669483,-8.41862225001138,-18.781218757587,-28.8754014267157,67.3077301089175,0,0,19.9093351079465,-9.04694951114169,-9.43199919142915,24.4843925047883
"5",1.40508788604166e-07,3.13736364887518e-07,3.4722906150364e-07,6.07474390790231e-06,-9.06999029790267,-3.80848733669836e-05,-4.22524726659942,-8.89545077598086e-08,-8.06906541583885e-10,-10.9747686384776,-45.5750803778655,-74.1723598220602,-65.7706372164468,-1.89877617365629,-3.16642359919648,-3.58471918397862,59.1277002976083,0,0,17.6209771175521,-12.1531139162261,-3.51815959554068,50.5316152234402
"6",3.28274111893734e-07,8.54356585477944e-11,5.63161805189339e-07,-1.84509048040127e-08,-5.26768190878677,-2.59583842421307e-07,-15.1897602611919,-1.32885702441854e-10,-2.06209065822804e-07,-18.737391072596,-9.92988932534903,-37.8694106749066,-23.8407794903498,-1.58396708783256,-3.70948445765291,-4.12273403885414,38.8848865122592,0,39.814339902616,17.1310972237723,-17.9074255450302,20.1926973888055,39.8801101541393
"7",3.17146782435884e-06,-3.66126321580396e-05,3.50900108969653e-09,0.000143453560326634,-3.50801798878502,-5.48639405906215e-07,-4.91372677099494,3.15216652779782e-09,-5.31291275933655e-05,-19.396140954434,-52.9648590327278,-88.5513220889934,-248.358792031856,-12.544165025692,-29.6488761777731,-36.6651216753886,94.7202676526422,0,0,21.3265536431878,-23.9123602428648,22.2300122369031,87.6435306226926
"8",4.6271978249024e-08,4.12852472209124e-08,1.81301856088112e-05,-6.98537547805244e-08,-7.23952336311029,4.17279011344362e-08,25.1141871548448,1.76047336708507e-08,6.14655846220559e-08,-3.96437126457038,-49.9620684144335,-68.8960418956965,-102.45171864332,-3.52616769462591,-6.22443669224854,-14.1072787548506,75.1816743591039,0,0,14.6658415099808,-1.41124259205498,-13.1827155340422,24.8519433987715
"9",1.65122239081938e-06,1.54304959210094e-06,-1.01071100289119e-06,5.21435055134135e-07,-2.41686717022066,-3.22398312846417e-06,-9.55869937139789,4.85653117721085e-09,-9.52070422499673e-10,-28.9917150287807,-44.6874633737451,-100.794135614192,-89.511228484903,-7.1978348896371,-11.526871807306,-37.5140910101054,70.9077587593289,0,0,24.6732406319535,-52.7234958962026,47.3697257900907,102.373821115151
"10",6.55893259704498e-06,6.46454640218508e-06,1.16514797809941e-09,6.54085604878674e-06,4.3779285076613,2.87466025383765e-06,18.5946776439767,6.45878691329927e-06,4.60175897387671e-10,-54.4692805944253,-98.5076972851578,-183.506713112047,-154.062302222239,-9.8689286030645,-11.101867714741,-29.4753905413808,139.765387595035,0,0,26.7305527572535,-34.9694649153071,93.9450395318264,195.7346545799
