"","V_plasma","V_inter","V_muscle","kgut","Km","Vmax","m_K_ALDO","P_ECF","FF","GFR","dtKsec_eq","A_dtKsec","B_dtKsec","cdKsec_eq","A_cdKsec","B_cdKsec","A_cdKreab","A_insulin","B_insulin","KMuscleBase","Kecf_base","ALD_eq","etapsKreab"
"9457",-1.92977154256368e-08,-8.24663601406428e-07,-2.30499779263482e-08,-1.48821754919481e-09,2.42429564044846,8.50830036824847e-06,1.56695104869931,1.0216467671853e-09,2.65873723037658e-09,-15.2590741515387,-17.2330039281831,-49.7087010467134,-30.2024667775496,-4.07647211643099,-12.5803735535575,-15.8815754921372,57.374428050007,0,0,21.1831037338422,-25.9575965482135,84.6039939293609,55.1020443407878
"9458",-1.68313363246853e-09,-8.18274377536455e-05,5.49960077478318e-11,-1.44306966376462e-08,5.61491699489779,-9.47977696341695e-10,5.22597547214153,-1.61695936640172e-08,-4.32473257205856e-09,-80.2022560717176,-39.1744746615199,-98.5634616333695,-100.081541156419,-4.16971049932343,-11.3861196754821,-13.0551212236335,149.296259340148,0,0,35.2170075911933,-46.3521624635609,106.17523472865,188.887788516703
"9459",-2.68709895294705e-05,-3.92722654396493e-09,-1.36053664334667e-06,-5.92605107385679e-06,-8.37598749815341,-1.37418151098245e-05,-4.73271469935798,-1.12541950159084e-06,4.01681509174524e-05,-9.17941482472966,-21.8587543381247,-35.2826279842425,-39.655883941423,-2.68719975599412,-5.93103878204311,-7.78312259340676,33.4905679127818,0,0,14.7391838760268,-13.0095142224664,6.19201208481164,29.9056487200654
"9460",-6.39086096043684e-07,5.84518033974746e-09,3.11905642433884e-05,3.0700050501764e-08,-3.53498763981713,-7.42126232466945e-07,-2.53546054306595,-1.0214050405466e-07,3.69835298386079e-06,-8.39724026988048,-16.0478269430688,-24.4325864933074,-17.4730948550449,-0.850821980227279,-1.70515966885544,-1.97066711645918,29.5407927887783,16.411106960473,29.770719099242,15.4525495533585,-8.2560826606431,11.8137200380139,26.503869001725
"9461",-1.78596337718773e-09,2.45484531262719e-05,-1.84021123459388e-05,-1.73474111875294e-06,1.02417063645427,3.54174289896036e-09,-3.88675119478552,-5.82105883495388e-07,1.09992015495663e-11,-44.6705629526937,-118.543372498824,-164.468814007452,-267.822478283515,-19.3108455837419,-23.4678759440384,-45.1151021466686,170.667784167565,0,0,31.3355556369176,-82.1764843856836,47.4251129274026,252.462292562983
"9462",-2.14793686836856e-07,-7.58047065119172e-07,9.63143779131313e-06,-7.66933396789681e-08,-0.877488162557968,-1.25333356493229e-05,-5.35350222000076,1.31957157520901e-05,9.55907353272778e-10,-45.9145659060967,-39.1408780609851,-112.062978468432,-93.0777306777936,-6.34123443439639,-8.15602321352356,-22.9296526379303,114.690502981954,0,0,26.8207894279434,-57.9422154142954,68.1845993216122,165.348570155177
"9463",4.43293401986011e-10,-1.58650078674327e-06,2.30978372428581e-07,-3.58453746684972e-08,-11.7391820130861,-1.58171101816151e-06,-25.2705346331065,-4.52054393917933e-08,2.39629116549622e-09,-17.0527968683305,-71.2805822773031,-102.894341810748,-166.668349904685,-2.39100196131017,-4.86422170666354,-7.50191055742115,97.174301492827,22.44074275377,74.759344364559,21.8541482872786,-16.5958447230767,10.2532903258579,43.0218891609537
"9464",9.141615464614e-09,-3.40929716458049e-07,5.48527623323026e-09,-6.88135628479358e-08,9.00965571576359,-4.27178292738972e-10,38.0133317933236,-4.3331738197594e-10,6.35853609765037e-07,-41.8031757449216,-91.5638610241839,-151.593054198581,-263.511566272708,-81.4849255524198,-170.29825923381,-298.827396041377,206.204928271239,0,0,44.6278994894145,-42.1334436013453,71.2491675619846,343.355205113922
"9465",1.77777792487177e-11,1.1583988680286e-05,-2.49067710456075e-07,-0.000427431173719128,-8.25813031341888,-1.85195858648512e-10,12.6071125118498,-1.71894498635083e-10,0.00010466813886012,-6.19070773516972,-29.9919080427037,-57.9269762782111,-48.2070550858922,-1.12952193163413,-2.97915412996079,-1.98870719008036,34.7608411197403,14.2293274430946,53.9040574905543,12.9608401867515,5.11049430858382,-20.39066106458,22.7378461742872
"9466",6.24970027729432e-07,2.91447122435784e-07,-8.65032922092722e-06,-5.21591691438062e-06,-6.38384036198087,-5.6763392706216e-06,-17.1745668628784,4.94318058485987e-07,-2.97561105355726e-06,-19.389843415395,-51.9438459516315,-77.5692335394084,-81.0920491507222,-3.10171414614538,-5.25369779594243,-12.6414380290522,74.915749805441,0,0,20.9080414127924,-31.9093192410924,27.8687527057784,54.0434437841826
"9467",-1.38987061859552e-07,4.98301534435087e-06,3.36096974251632e-07,-7.24270691421225e-07,-1.33322181077924,8.03065773880006e-08,-2.83878178361098,-1.19626548666929e-08,9.67642094451548e-07,-17.0832899543587,-8.89732444001923,-22.4525983275278,-12.6718513482257,-2.67541043695069,-5.03553142370294,-11.28311306707,41.8514834490122,0,0,16.8842039668602,-19.729518935343,47.3095259416926,67.4942290008361
"9468",-1.7352185608388e-05,2.00241743186779e-07,3.73486841453997e-09,-8.69704308570362e-11,1.29601356209358,-4.42531131739088e-08,-6.87793268911898,-8.12687517282029e-09,-1.22781784739345e-11,-38.0683310062895,-80.6691963072774,-215.326896512337,-273.478560183986,-5.84053811746499,-17.4213410690518,-16.8711986915971,127.497967692718,0,0,29.6402660431164,-45.3834979346663,91.3878406576612,176.518315164827
"9469",-2.56240110729777e-06,-2.59249262057892e-06,-2.38924222486503e-05,2.79251821666549e-09,-8.11026392102196,-1.05597067090457e-06,0.712351840854239,1.32661625684705e-07,1.42440683248424e-07,-6.87584854602649,-69.478150312298,-80.4814062350003,-170.472608765244,-1.48252280960689,-5.44767376800192,-4.57023109203854,106.331410833324,0,0,21.8639530480857,-14.5334389638872,-3.53592838729078,42.9252211514071
"9470",-4.79616346638067e-11,-6.471623237303e-11,2.44284592554322e-11,-1.11424469650956e-09,-3.63443726812774,-4.83197482026299e-10,-7.64190795354956,-1.16221784196568e-07,2.03205132720541e-08,-8.5983756441633,-7.33026602709631,-22.8432267973977,-13.824517507532,-0.797320918128962,-2.76271848660541,-3.3889639786266,19.6206237443146,0,0,16.1795840347862,-12.046693594238,60.7617277737069,30.8594457097507
