"","V_plasma","V_inter","V_muscle","kgut","Km","Vmax","m_K_ALDO","P_ECF","FF","GFR","dtKsec_eq","A_dtKsec","B_dtKsec","cdKsec_eq","A_cdKsec","B_cdKsec","A_cdKreab","A_insulin","KMuscleBase","Kecf_base","ALD_eq","etapsKreab"
"1",2.83549184132426e-10,2.04101695544523e-08,-1.8061584228235e-08,-1.50663481690572e-10,-3.68357478661552,-9.78417347141658e-11,-7.65247892706126,-2.56986879776377e-07,-6.77857769915137e-12,-11.3189083597031,-22.1430184323086,-35.3952602921935,-31.8337692066758,-0.6299376908281,-1.59738741342591,-2.68589911061878,35.5691415150394,0,17.6988160219981,-20.054931368657,27.5970543972438,51.1970395692219
"2",3.58933554878149e-07,3.62484506410965e-07,2.40239700133316e-07,6.93703654519595e-08,-12.3714767653475,6.00536964157072e-07,58.4680146295912,-8.52163331899192e-07,3.22214575021462e-07,-4.12752606694207,-49.8214467785359,-83.9187859779525,-92.9524216057712,-5.19898277662111,-5.96717743706578,-13.7415728565521,71.4707065306159,0,10.0341105105158,23.6851466563207,-60.9873429468854,14.9945825415423
"3",7.06323805843567e-06,4.41144720753072e-09,4.61710669696913e-10,-1.82368040668734e-07,0.208598111632881,-1.04784021459636e-07,-2.35312052078726,9.91590809462652e-09,-5.60191892873264e-11,-15.9987344061182,-79.3143713197391,-186.252298624178,-222.205292625349,-15.1672369816568,-13.0936585776099,-44.4947560153201,173.54198413749,-87.3073264908969,24.1214244359765,-36.318100048451,10.5244487260201,83.918531003985
"4",1.53477230924182e-11,5.69672718597758e-06,5.72641454255063e-08,-0.000350434592832016,2.339422917848,3.31773162542959e-06,16.4227605090666,3.43533201885293e-10,-1.98614311557321e-05,-37.4322036880254,-16.9679301581366,-60.1564922662861,-36.7811467442302,-2.48802270865409,-6.83824490394551,-10.4168331486566,85.4932986696981,0,28.0618496835987,-54.8910485673173,106.239289614977,131.939376767157
"5",-5.5938869536476e-08,4.39056151435579e-08,-3.16374126896335e-08,-9.08614623540415e-08,-13.4996522295182,-7.28191906773644e-08,17.1810334204545,-2.23309370994684e-10,-1.08073550109111e-10,-5.02431354287146,-51.8968075569608,-91.9273474654679,-95.1649111598843,-3.87756430906206,-7.90453536539961,-16.4563510136647,59.4979220931614,-34.6188394673848,15.8097386093799,6.85265453387112,-21.8706023735087,30.6690761281178
"6",-1.16686180717807e-08,6.6106684926126e-07,1.09060920294724e-08,-1.17470446809875e-05,1.89176490847467,-4.53235938380203e-06,-3.45628259126405,-3.67595541206356e-06,-3.30218284716466e-06,-12.9124199427291,-87.2533329710279,-97.1201875358197,-274.721010454202,-16.1019441268246,-62.587338089743,-63.8709428360347,110.634385019324,-106.363736198719,22.6092951543192,-14.0626502546526,32.9454646639761,123.101013624018
"7",-1.97222590259116e-07,2.47109655617806e-05,-4.39310667843529e-08,1.50350088858886e-05,-8.59712161001637,1.41843030121436e-05,-8.2735780441391,-7.78180975657961e-06,-1.508892722768e-06,-14.3150260347022,-62.4435385086058,-99.0522138107719,-120.795553270291,-3.84910971794035,-13.5952306606886,-15.7670062896161,83.6897841761967,-65.2412696193694,22.0349226364063,-26.1799415922004,25.3234768735881,71.7061896131351
"8",-3.45842522619932e-07,-1.86269176083442e-07,-1.7834847199083e-07,2.8370266136335e-09,-4.62026834950992,-4.13061712833951e-07,-8.97106009767802,1.05144692952308e-09,1.38551570216805e-09,-13.6556227367251,-14.2466011501456,-41.9437166466352,-29.3857393977685,-6.92953641579738,-11.7260263518817,-32.479032235307,37.1320930005343,0,17.4132582273971,-18.8813689197506,21.0109518635052,48.8198481300448
"9",3.62338255399663e-07,-7.11827397026353e-09,-1.54922679485025e-06,1.09620651755904e-06,6.15243720369737,-2.14418435007246e-07,140.13541715905,9.83011432253988e-08,-0.00933437333418396,-75.0982953460821,-97.8141327765339,-223.347725293339,-248.37064420924,-14.9743806125807,-150.271969845408,-183.40504652542,296.853243669289,0,41.2594752564356,-101.323430183009,122.805834768049,687.493143723785
"10",-1.97922062739053e-06,2.28731931315451e-05,3.3733536923819e-06,1.03556715203013e-07,-4.0029241220481,3.915032777968e-07,-13.1204971774324,8.22755316676193e-06,1.89518800652877e-09,-21.7289383101112,-25.8330086628902,-50.7695247521006,-50.2533579052223,-2.097038054527,-4.00356434791402,-9.16440914787998,71.3084006330589,0,25.8637527012971,-31.7847683732179,70.4093904737323,82.4798808250341
"11",1.64476432473748e-10,-1.7054389900295e-08,-1.4271080317485e-08,2.8700242182822e-10,0.141103778114115,-1.26874510897323e-10,-2.39269788595197,1.61930603326255e-06,2.77537992587895e-10,-36.0723946157659,-143.349023470093,-203.523905532581,-245.590932348821,-14.8326311764039,-59.6618035271302,-186.276329558224,206.007163157993,-150.803626543835,51.5672381643961,-52.6580330318918,139.906417333128,320.504971194946
"12",-3.14446708671312e-07,3.09466116732438e-07,4.88185492031334e-09,-1.95499296751222e-08,3.24631184219681,4.33317381975939e-09,17.1624300506324,-9.85733095149044e-09,3.19397116754772e-07,-50.1961316555684,-32.2640780619212,-82.269634582367,-96.1805029574318,-14.6529354088812,-19.3584476927605,-50.7800149673735,216.162939321919,0,25.9650734448437,-80.0668507534414,126.779618593823,194.492904120996
"13",-1.28967326418206e-06,3.7441448341724e-07,-1.07547532479657e-06,6.51932907658192e-09,-11.1118807453216,2.10429446667603e-06,14.22880734428,-7.58177520765458e-10,3.62615793392252e-07,-4.99625851938105,-59.7946845901779,-63.1023541279617,-80.4443061165753,-6.34105755423314,-7.04940747663968,-18.9683322496336,50.6081701334164,-48.9670910014237,14.6161680626123,8.44156416793888,-16.0380707849302,26.7923961044826
"14",-1.48882634221081e-07,-7.6047967922932e-10,-1.3930603870449e-07,7.6635018331217e-09,-10.2763009122892,-1.93562158301575e-07,36.4299376836038,4.42456810390013e-06,-6.44885744804924e-09,-8.39390122871209,-81.7993552568278,-138.750797891556,-138.722565648678,-1.7039513939517,-3.7908448668768,-6.5038684183853,65.8934730821627,0,12.7898366302586,-15.3946016600509,-17.0407595372328,27.7994828962449
"15",6.71402773377849e-08,-1.73693379679207e-06,1.13977989286696e-05,-8.01801274974423e-06,-3.1803080212531,-1.21572196150055e-05,-2.76610905304486,1.03756368616814e-05,-7.62966266165677e-07,-11.9249324846362,-14.0843564510086,-48.0935994797971,-31.9575338954797,-4.37601267837318,-6.66133957104003,-12.098421094425,40.7362712689336,-37.5815083158032,18.0761014185671,-22.7897909607953,20.0095660974854,29.7278667856194
"16",-2.32166797786704e-07,3.93313541735552e-07,3.51701874024002e-05,0.000160826769501909,-1.62806581186896,-3.50439677276881e-10,-3.03176158171435,-1.21480187829093e-05,-5.99545381021472e-05,-11.9478583144441,-21.994564620973,-34.9481329531232,-22.0455561617747,-0.668330017264423,-3.21887469664863,-2.05655529531275,33.4555764232507,-59.8359848810147,19.1699165265932,-11.8111528072444,32.7926680131082,30.6372952844759
"17",2.46472666276531e-07,-8.99784398029622e-05,4.92833038379103e-07,-2.24959762817889e-07,10.3413368287537,-6.71358264980882e-07,106.123444093134,3.14306532800401e-07,-1.08685412669729e-07,-129.998012636858,-207.165209349966,-501.74179417451,-540.882263134751,-17.7319070791124,-70.4725577710567,-85.0092372120711,310.434930755772,0,44.8864674968071,-57.0528691756028,232.423975945811,857.678834308745
"18",2.8495605874923e-10,3.25499627251702e-10,-7.87210296948615e-09,-8.97010465905624e-09,-10.2854395111618,-1.58884233769641e-07,29.5627168832408,-2.15323091197206e-05,-7.33774641048512e-09,-5.99437102399779,-24.9425518431271,-33.9409974274489,-38.635288718764,-2.80432419138889,-3.8193513417135,-5.26897273744173,51.5260168307994,-44.6086659890179,14.4133120863878,4.54082048168697,-44.2495960026103,19.8139168965923
"19",-1.94151661787601e-05,1.55695744297191e-07,1.92799624585405e-05,-4.33020659329486e-08,-2.84001439519921,9.56116095096604e-06,-2.13390054668192,-2.08657411349123e-08,1.18168514973149e-08,-9.22722682512023,-11.9778787363249,-30.5162339253275,-25.2805794549224,-0.867781795830385,-1.69296067956702,-3.38299358444231,27.282674703974,-32.9042226997297,16.3127496470641,-9.78476804989548,7.11663527031968,32.6856701898864
"20",-5.32305080014339e-08,-2.22567564378551e-09,-4.80639528177562e-10,1.61665241193987e-07,2.92631034163247,9.66906554822346e-11,9.5580993980671,-2.66682036453858e-08,6.44737383481697e-08,-12.5474914176541,-37.3101137130321,-51.0088718454674,-56.8006682660094,-9.42372606413806,-9.99762375138849,-16.820782470746,67.2317367905622,0,21.0954431173094,-16.4638630985212,67.1003702309488,105.317525375837
"21",7.90151943874662e-10,2.42756854618165e-06,3.15139914164319e-10,1.63189781687834e-08,-4.08964467017085,2.80712413314177e-08,0.811525055054176,-1.35953053614912e-05,4.28623536663509e-09,-6.87127771770278,-43.5412059169995,-78.4338541354239,-99.5123735590392,-2.75872148045881,-8.65191803341617,-10.0068884324769,65.0011268103764,-55.499471771391,21.4985464051682,-1.56804598763589,-10.485230772235,37.0760758562077
"22",4.18439299210149e-07,2.78361653727188e-07,-2.80923956097468e-07,0.00046849451805997,-4.83318357284211,7.55472881053265e-05,-2.46658425562961,-7.58389830934902e-08,2.53972714858719e-06,-15.8288262934184,-72.2402839319639,-109.017452888287,-134.792487788316,-19.2812309007306,-20.4705462777973,-41.1883302541574,71.6572710209375,0,20.8246574824049,-16.5438621858761,15.1601954769742,110.295795260767
"23",-8.53717097015761e-10,-2.92753725261718e-07,-1.74373539607586e-07,5.87718034239515e-08,-8.01203579883796,1.02062358564581e-10,-2.47553779087224,-1.0191981658636e-06,0,-11.307383758364,-22.8735874330161,-32.4193936884902,-63.1042367642964,-1.70328853978462,-2.11217705770062,-5.17579827771122,36.1514526650843,-44.0855530130317,14.4580532644463,-13.0256524900183,7.05142442999205,29.6558420134475
"24",-8.860240541253e-09,-3.44387430573078e-06,5.92757714912294e-07,3.20576307899501e-06,-6.08846655948339,9.48739148043387e-06,-10.9149580528915,7.97386732642736e-07,-9.29293608464833e-06,-13.9423637636873,-36.354590585188,-69.6082321272493,-69.1281040823889,-3.10813763842708,-7.59142660841016,-11.5925235559761,71.2102782018579,-62.333698998275,20.8032038160786,-20.2308656996624,15.7281229087197,36.8151669501861
"25",6.11123505080969e-05,1.28319413335021e-05,3.30300714779241e-06,5.57333507344993e-06,-10.3074252620641,-1.07470329595571e-05,-7.82745896612635,1.77393077507304e-05,-2.64149662143609e-08,-12.4111802459003,-41.5447861783496,-65.6506918358189,-96.9910648544037,-5.04898457639641,-8.15043359558884,-21.8678102456249,64.1597899910288,-49.5449222845998,16.3973698059725,-6.65637140804429,-9.30258032682835,36.0004296557712
"26",1.35439819359817e-08,8.30967039178176e-07,1.32045587264429e-05,2.94231301722902e-06,-8.04052520534324,-1.42803269369551e-05,10.2934348565584,-5.84357049149275e-06,-2.76882913397003e-06,-9.07937729772497,-52.9086256306236,-67.1046308670014,-99.2490002266346,-0.756173970587471,-3.74825229957317,-3.0054785555329,62.5668838850506,0,13.6185131864194,-14.8072207251119,-19.9159953494412,29.8819100668467
"27",6.20909715962626e-05,-0.000168335599028069,-0.000528956185348762,0.000348246367934735,27.6430133265505,-0.000446003890715475,572.469787252502,0.000528961689042263,-0.000348210281345018,-385.863135571689,-337.725026007744,-634.215691580154,-829.190591222635,-125.525113831999,-296.907910618785,-857.277885789024,1635.47635049871,0,79.1428036148798,-318.852750529071,492.363175096481,2225.69500429526
"28",-7.92541072769381e-08,1.5550568832623e-08,-1.86563340776047e-07,-2.63989902578032e-05,7.01260380621983,-1.38891074641379e-05,53.9445858680105,5.90631543673226e-10,8.68880647431069e-08,-26.8813994520273,-43.5577138170895,-151.56658140635,-224.57984982362,-9.86049769513036,-24.1395808984582,-24.117095285706,126.975791534296,0,23.0621421429425,-25.8622837950197,130.48025931616,224.664045946922
"29",9.28358190321887e-09,1.62613986276483e-07,-1.28869714899338e-08,1.77906969156538e-07,12.6646932781729,0.000811607946928917,189.317428884621,0.000508678859546308,4.51420532954217e-07,-77.4701938661319,-71.461114532878,-331.073520023553,-242.26295064956,-11.2989781995206,-34.3479021699318,-83.5522726553109,157.008734807827,0,48.9002344145024,-72.8663214222935,212.340298051373,468.081507839986
"30",-1.9414869711909e-10,7.8472908171534e-09,-2.76553180356132e-08,-1.65517519690184e-08,-5.84546217958072,4.0594727579446e-10,-20.2103759599297,7.66542029850825e-09,1.27897692436818e-11,-20.562599031038,-44.6629978406097,-61.5258106985489,-83.0424405647678,-2.68893902872264,-9.64341361358058,-12.2094616419032,73.5985207834281,-70.1279416359393,24.2712955590001,-30.8146424966309,38.8047053677992,64.2733009771553
"31",7.11594393010273e-05,-2.36866526392987e-10,6.65733068672124e-09,3.3900562357303e-09,-0.4918976561772,-3.29771410179091e-09,2.03999703454562,8.49880166242655e-09,-8.75408545653046e-09,-37.836462442561,-44.2438219790107,-73.5102892848477,-123.77205931134,-9.79599543053382,-18.9045650910978,-45.7264656217078,158.277256232689,0,26.5464494083485,-48.3781551297029,52.6911049434617,114.365533467721
"32",-2.96656139653351e-08,2.24000018533843e-09,6.37917878520966e-08,5.17218268214492e-10,1.0512551822049,1.52136377096212e-06,5.48042481987665,7.2287903662982e-07,2.72166289505549e-10,-24.9748811411084,-53.6190204633543,-123.703902417587,-102.339957073738,-14.6248854673077,-41.5390018623915,-70.331784771778,71.16530189398,-55.431509725134,27.8098612221664,-33.0109915288765,48.5729366591985,136.507390674511
"33",5.95957203586295e-08,2.14980673263199e-08,3.24374127558258e-09,3.53944074049651e-09,1.62012659376939,6.48159158345151e-07,11.8518631087894,-3.72965018868854e-08,-5.38960875928752e-10,-47.202434753602,-52.3188068131413,-113.645690086356,-207.640386934784,-32.3331957432605,-63.7584345224144,-108.299928001693,170.534406836159,-71.2569452021285,29.8060209216939,-42.6225842738971,58.6807335110497,193.855112326249
"34",-1.05125508298443e-09,2.01280975886675e-07,3.29335790638651e-07,1.04399688893864e-08,-8.59177104244544,1.14739673762187e-06,44.4422373398595,-1.11365316968204e-07,4.68474475212588e-07,-5.16979361009879,-54.5984929216502,-96.8577214496056,-90.6974809365059,-2.80786533422627,-7.72614829742861,-9.89762737490804,63.9215065483414,0,8.79033307590315,16.2540580867746,-98.9145216870118,22.3126969303533
"35",-1.64203754593473e-07,2.9129789908211e-05,-4.00979729420214e-08,-5.6351723287662e-10,1.25909106692592,-2.06196659746638e-08,-0.403655932930533,6.85531631461345e-11,-1.27897692436818e-12,-18.4355987423203,-30.189653285342,-80.7465280329662,-64.3929141284872,-2.13073901454286,-6.77460253671674,-5.9477920470296,73.139914273376,0,21.3507261562234,-24.6864117034137,33.2059764426031,66.191842617027
"36",-3.2577716524429e-07,3.06954461848364e-11,-1.88121134669927e-07,7.27282554180419e-08,-6.94386608460355,3.74785642520692e-07,9.58235301100347,-9.71086251411181e-08,4.09142671742302e-07,-7.65183864641729,-36.3255520196663,-68.3309185323854,-69.6404515638434,-2.2311431572456,-5.06735389890801,-8.78237384973506,44.4639140974616,0,17.7413582045481,1.27675335717029,-3.47952007278091,48.3377616378637
"37",2.20634314018753e-06,4.84115429344455e-06,-2.77973100537566e-07,-1.06296539570394e-07,-5.1104391177806,4.80887214848736e-06,-11.6329923321474,-4.91938547497739e-06,2.90751231091236e-06,-23.7236416501691,-35.4708047271174,-61.245565209535,-64.6339443851615,-5.738733625803,-12.2071399049422,-23.089695395303,65.8696556419877,0,18.723604396017,-34.9678074437673,23.7142370441528,54.8590181987559
"38",0.000126175443597276,3.94498360378748e-06,-3.06980041386851e-09,-1.2286236028558e-08,-4.47113223999958,-9.35955313252636e-10,-28.08506455257,-9.17538045541733e-10,0,-22.8091023170917,-15.9614795842624,-45.7090149293908,-38.5423018961463,-1.63133387980159,-3.56631955888891,-5.05057034815928,53.4324772593463,0,19.7066450668082,-32.7268682196103,42.3125840906977,61.4226055774888
